Grupo,Tipologia,Estado,Preditor_1,Preditor_2,Status_D1,Status_D2,Status_D3,Observacao
1. Planejamento e Agenda,Planejamento estratégico do mandato,Diagnóstico realizado,Priorizar Agenda,—,Baixo,Baixo,Baixo,Ponto de partida; ainda sem impacto externo.
1. Planejamento e Agenda,Planejamento estratégico do mandato,Pautas prioritárias definidas (≤3),Priorizar Agenda,—,Baixo,Baixo,Baixo,Foco definido orienta toda a operação do mandato.
1. Planejamento e Agenda,Planejamento estratégico do mandato,Planejamento em execução ativa,Priorizar Agenda,Articular Entrega,Médio,Médio,Médio,Metas sendo perseguidas; primeiros avanços visíveis.
1. Planejamento e Agenda,Planejamento estratégico do mandato,Meta estratégica concluída,Priorizar Agenda,Articular Entrega,Médio,Alto,Alto,Entrega dentro da agenda priorizada — D3 avança.
2. Produção Legislativa,Projeto de lei / proposição,Apresentado,Priorizar Agenda,Pautar Debates,Baixo,Baixo,Baixo,Sinaliza intenção dentro da pauta priorizada.
2. Produção Legislativa,Projeto de lei / proposição,Em tramitação ativa,Articular Entrega,Pautar Debates,Baixo,Médio,Médio,Articula apoios; narrativa pública pode emergir.
2. Produção Legislativa,Projeto de lei / proposição,Com co-autoria estratégica,Articular Entrega,Protagonizar Espaços,Médio,Alto,Médio,Co-autores ampliam rede e reduzem risco nas comissões.
2. Produção Legislativa,Projeto de lei / proposição,Aprovado em comissão,Articular Entrega,Protagonizar Espaços,Médio,Médio,Alto,Vitória intermediária; credibilidade do mandato cresce.
2. Produção Legislativa,Projeto de lei / proposição,Aprovado em plenário,Articular Entrega,Pautar Debates,Alto,Alto,Alto,Marco legislativo; impacto direto em D3.
2. Produção Legislativa,Projeto de lei / proposição,Sancionado / promulgado,Articular Entrega,Pautar Debates,Alto,Alto,Máximo,Impacto formal máximo; consolida pauta e reputação.
3. Relatoria,Relatoria estratégica,Indicado / designado,Protagonizar Espaços,Priorizar Agenda,Alto,Médio,Baixo,Posição formal impacta D1 antes da entrega. Deve estar na pauta priorizada.
3. Relatoria,Relatoria estratégica,Em exercício com audiências,Protagonizar Espaços,Pautar Debates,Alto,Alto,Médio,Centralidade decisória e narrativa crescem juntas.
3. Relatoria,Relatoria estratégica,Relatório aprovado,Articular Entrega,Protagonizar Espaços,Alto,Alto,Alto,Entrega concreta com alto reconhecimento institucional.
4. Cargos e Espaços de Poder,"Cargo de liderança (comissão, bancada, bloco, mesa)",Candidato / articulando,Protagonizar Espaços,Construir Partido,Médio,Médio,Baixo,Movimento visível; gera centralidade antes do ganho formal.
4. Cargos e Espaços de Poder,"Cargo de liderança (comissão, bancada, bloco, mesa)",Eleito / indicado,Protagonizar Espaços,Construir Partido,Máximo,Alto,Baixo,Salto institucional imediato em D1.
4. Cargos e Espaços de Poder,"Cargo de liderança (comissão, bancada, bloco, mesa)",Em exercício ativo,Protagonizar Espaços,Articular Entrega,Máximo,Máximo,Médio,Centralidade máxima; D3 depende das entregas do cargo.
4. Cargos e Espaços de Poder,Participação em negociação política de alto nível,Convidado a participar,Protagonizar Espaços,—,Alto,Alto,Baixo,O convite já é evidência de centralidade decisória.
4. Cargos e Espaços de Poder,Participação em negociação política de alto nível,Participante ativo,Protagonizar Espaços,Articular Entrega,Alto,Alto,Médio,Influência relacional aumenta; impacto depende do acordo.
4. Cargos e Espaços de Poder,Participação em negociação política de alto nível,Papel de mediador / central,Protagonizar Espaços,Articular Entrega,Máximo,Máximo,Alto,Máxima centralidade; altera correlação de forças.
5. Audiências e Eventos Institucionais,Audiência pública / evento institucional,Convocada / organizada,Pautar Debates,Priorizar Agenda,Baixo,Baixo,Baixo,Uso do cargo para pautar; coerente com agenda priorizada.
5. Audiências e Eventos Institucionais,Audiência pública / evento institucional,Realizada com participação qualificada,Pautar Debates,Protagonizar Espaços,Médio,Médio,Baixo,Debate qualificado; reconhecimento técnico do mandato aumenta.
5. Audiências e Eventos Institucionais,Audiência pública / evento institucional,Com relatório ou recomendação institucional,Articular Entrega,Pautar Debates,Médio,Alto,Médio,Preditor muda quando resultado institucional emerge.
5. Audiências e Eventos Institucionais,Audiência pública / evento institucional,Com impacto em política pública,Articular Entrega,Pautar Debates,Alto,Alto,Alto,Audiência gerou mudança concreta — D3 máximo para o formato.
6. Fiscalização e Controle,Ação de fiscalização / controle,Requerimento ou pedido de informação apresentado,Pautar Debates,Priorizar Agenda,Baixo,Baixo,Baixo,Instrumento básico de controle; baixo custo e baixo impacto imediato.
6. Fiscalização e Controle,Ação de fiscalização / controle,Com resposta do executivo,Pautar Debates,Articular Entrega,Médio,Médio,Médio,Mandato demonstra capacidade de pressionar e obter resposta.
6. Fiscalização e Controle,Ação de fiscalização / controle,Com repercussão pública ou investigação aberta,Pautar Debates,Protagonizar Espaços,Médio,Alto,Médio,Pauta entra no debate público; influência narrativa sobe.
6. Fiscalização e Controle,Ação de fiscalização / controle,Com correção de política pública ou responsabilização,Articular Entrega,Pautar Debates,Alto,Alto,Alto,Fiscalização gerou mudança concreta — impacto substantivo confirmado.
7. Coalizões e Articulação,Coalizão / articulação interpartidária,Em construção,Protagonizar Espaços,Articular Entrega,Médio,Médio,Baixo,Processo já gera centralidade antes de formalizar.
7. Coalizões e Articulação,Coalizão / articulação interpartidária,Formalizada,Protagonizar Espaços,Articular Entrega,Médio,Alto,Baixo,Rede densa e diversa; D2 sobe com densidade relacional.
7. Coalizões e Articulação,Coalizão / articulação interpartidária,Ativa com agenda política,Protagonizar Espaços,Pautar Debates,Alto,Máximo,Médio,Influência relacional e narrativa no pico.
7. Coalizões e Articulação,Coalizão / articulação interpartidária,Com entrega política concreta,Articular Entrega,Protagonizar Espaços,Alto,Máximo,Alto,Resultado real a partir de articulação; D3 avança.
7. Coalizões e Articulação,Articulação com sociedade civil e movimentos,Reunião / escuta com organizações,Articular Entrega,Priorizar Agenda,Baixo,Médio,Baixo,Constrói legitimidade e insumos para a pauta priorizada.
7. Coalizões e Articulação,Articulação com sociedade civil e movimentos,Parceria formal ou carta conjunta,Articular Entrega,Pautar Debates,Médio,Alto,Médio,Mandato amplia sua rede e a pauta ganha respaldo externo.
7. Coalizões e Articulação,Articulação com sociedade civil e movimentos,Ação conjunta com impacto público,Articular Entrega,Pautar Debates,Alto,Alto,Alto,Coordenação política + sociedade civil gera resultado concreto.
8. Frente Parlamentar,Frente parlamentar,Em articulação,Protagonizar Espaços,Priorizar Agenda,Baixo,Médio,Baixo,Expansão de rede em torno da pauta priorizada.
8. Frente Parlamentar,Frente parlamentar,Formalmente criada,Protagonizar Espaços,Articular Entrega,Médio,Alto,Baixo,D2 avança com densidade e diversidade da rede formada.
8. Frente Parlamentar,Frente parlamentar,Ativa com agenda e reuniões,Protagonizar Espaços,Pautar Debates,Médio,Alto,Médio,Reuniões e pauta pública contribuem para narrativa.
8. Frente Parlamentar,Frente parlamentar,Com entrega concreta,Articular Entrega,Protagonizar Espaços,Alto,Alto,Alto,Preditor passa a ser entrega quando há resultado.
9. Comunicação e Narrativa,Cobertura de mídia / presença pública,Menção pontual,Pautar Debates,—,Baixo,Baixo,Baixo,Aparição isolada sem consolidação de narrativa.
9. Comunicação e Narrativa,Cobertura de mídia / presença pública,Entrevista / matéria temática,Pautar Debates,Priorizar Agenda,Baixo,Médio,Baixo,Eleva influência narrativa na pauta priorizada.
9. Comunicação e Narrativa,Cobertura de mídia / presença pública,Referência recorrente em tema,Pautar Debates,—,Médio,Alto,Baixo,D1 cresce porque reconhecimento estratégico interno aumenta.
9. Comunicação e Narrativa,Cobertura de mídia / presença pública,Referência consolidada / porta-voz de pauta,Pautar Debates,Protagonizar Espaços,Médio,Máximo,Médio,Influência narrativa máxima; gera convites e relatorias.
9. Comunicação e Narrativa,Publicação técnica / posicionamento estratégico,Publicado,Pautar Debates,Priorizar Agenda,Baixo,Baixo,Baixo,Contribuição técnica dentro da pauta; sem repercussão ainda.
9. Comunicação e Narrativa,Publicação técnica / posicionamento estratégico,Com repercussão em pares e imprensa,Pautar Debates,—,Baixo,Médio,Baixo,Referência técnica em formação; influência narrativa cresce.
9. Comunicação e Narrativa,Publicação técnica / posicionamento estratégico,Adotado como referência política ou normativa,Pautar Debates,Protagonizar Espaços,Médio,Alto,Médio,Referência técnica consolidada; pode gerar relatorias e convites.
10. Partido e Estrutura,Fortalecimento da estrutura partidária,Ação de formação ou articulação interna,Construir Partido,Priorizar Agenda,Baixo,Baixo,Baixo,Investimento de longo prazo; baixo impacto imediato no IIP.
10. Partido e Estrutura,Fortalecimento da estrutura partidária,Em desenvolvimento com protagonismo,Construir Partido,Protagonizar Espaços,Médio,Baixo,Baixo,Capital político interno cresce; reconhecimento na legenda.
